1,Activo,,2,1
1.1,Activos Circulantes,,2,1
1.1.1,Caja,1,2,1
1.1.1.1,Caja y efectivo,1.1,2,2
1.1.2,Bancos,2,2,1
1.1.2.1,Bancos nacionales,2.1,2,2
1.1.2.2,Bancos extranjeros,2.2,2,2
1.1.3,Inversiones,3,2,1
1.1.3.1,Inversiones en Valores,3.1,2,2
1.1.3.2,Inversiones temporales,3.2,2,2
1.1.4,Clientes,4,2,1
1.1.4.1,Clientes nacionales,4.1,2,2
1.1.4.2,Clientes extranjeros,4.2,2,2
1.1.4.3,Partes relacionadas,4.3,2,2
1.1.5,Cuentas por Cobrar,5,2,1
1.1.5.1,Documentos por Cobrar corto plazo,5.1,2,2
1.1.5.2,Partes relacionadas,5.2,2,2
1.1.5.3,Intereses por cobrar,5.3,2,2
1.1.6,Títulos de crédito,6,2,1
1.1.6.1,Títulos de crédito,6.1,2,2
1.1.7,Créditos otorgados,7,2,1
1.1.7.1,Créditos otorgados,7.1,2,2
1.1.8,Deudores diversos,8,2,1
1.1.8.1,Funcionarios y Empleados,8.1,2,2
1.1.8.2,Socios y accionistas,8.2,2,2
1.1.8.3,Partes relacionadas,8.3,2,2
1.1.8.4,Otros deudores diversos,8.4,2,2
1.1.9,Estimación de Cuentas Incobrables,9,2,1
1.1.9.1,Estimación de Cuentas Incobrables,9.1,2,2
1.1.10,Pagos Anticipados,10,2,1
1.1.10.1,Seguros y Fianzas Pagadas por Anticipado,10.1,2,2
1.1.10.2,Rentas Pagadas por Anticipado,10.2,2,2
1.1.10.3,Intereses Pagados por Anticipado,10.3,2,2
1.1.10.4,Otros pagos anticipados,10.4,2,2
1.1.11,Impuestos a favor,11,2,1
1.1.11.1,IVA a favor,11.1,2,2
1.1.11.2,ISR a favor,11.2,2,2
1.1.11.3,IETU a favor,11.3,2,2
1.1.11.4,IDE a favor,11.4,2,2
1.1.11.5,IA a favor,11.5,2,2
1.1.11.6,Otros impuestos a favor,11.6,2,2
1.1.12,Pagos provisionales,12,2,1
1.1.12.1,Pagos provisionales de ISR,12.1,2,2
1.1.13,Inventarios,13,2,1
1.1.13.1,Inventarios,13.1,2,2
1.1.14,Obras en proceso,14,2,1
1.1.14.1,Obras en proceso,14.1,2,2
1.1.15,Impuestos acreditables pagados,15,2,1
1.1.15.1,IVA acreditable pagado,15.1,2,2
1.1.15.2,IVA acreditable de importación pagado,15.2,2,2
1.1.15.3,IEPS acreditable pagado,15.3,2,2
1.1.15.4,IEPS pagado en importación,15.4,2,2
1.1.16,Impuestos acreditables por pagar,16,2,1
1.1.16.1,IVA pendiente de pago,16.1,2,2
1.1.16.2,IVA de importación pendiente de pago,16.2,2,2
1.1.16.3,IEPS pendiente de pago,16.3,2,2
1.1.16.4,IEPS pendiente de pago en importación,16.4,2,2
1.1.17,Anticipo a proveedores,17,2,1
1.1.17.1,Anticipo a proveedores,17.1,2,2
1.1.18,Otros Activos Circulantes,18,2,1
1.1.18.1,Otros Activos Circulantes,18.1,2,2
1.2,Activos no circulantes,,2,1
1.2.1,Terrenos,19,2,1
1.2.1.1,Terrenos,19.1,2,2
1.2.2,Edificios,20,2,1
1.2.2.1,Edificios,20.1,2,2
1.2.3,Maquinaria y equipo,21,2,1
1.2.3.1,Maquinaria y equipo,21.1,2,2
1.2.4,Equipo de transporte,22,2,1
1.2.4.1,Equipo de transporte,22.1,2,2
1.2.5,Mobiliario y equipo de oficina,23,2,1
1.2.5.1,Mobiliario y equipo de oficina,23.1,2,2
1.2.6,Equipo de cómputo,24,2,1
1.2.6.1,Equipo de cómputo,24.1,2,2
1.2.7,Depreciación acumulada,25,2,1
1.2.7.1,Depreciación acumulada de edificios,25.1,2,2
1.2.7.2,Depreciación acumulada de maquinaria y equipo,25.2,2,2
1.2.7.3,Depreciación acumulada de equipo de transporte,25.3,2,2
1.2.7.4,Depreciación acumulada de mobiliario y equipo,25.4,2,2
1.2.7.5,Depreciación acumulada de equipo de cómputo,25.5,2,2
1.2.7.6,Depreciación acumulada de otros activos,25.6,2,2
1.2.8,Adaptaciones y mejoras,26,2,1
1.2.9,Adaptaciones y mejoras,26.1,2,2
1.2.10,Gastos Pre Operativos,27,2,1
1.2.10.1,Gastos Pre Operativos,27.1,2,2
1.2.11,Gastos de instalación,28,2,1
1.2.11.1,Gastos de instalación,28.1,2,2
1.2.12,Gastos de organización,29,2,1
1.2.12.1,Gastos de organización,29.1,2,2
1.2.13,Investigación y Desarrollo de Mercado,30,2,1
1.2.13.1,Investigación y Desarrollo de Mercado,30.1,2,2
1.2.14,Marcas y Patentes,31,2,1
1.2.14.1,Marcas y Patentes,31.1,2,2
1.2.15,Depósitos en Garantía,32,2,1
1.2.15.1,Depósitos en Garantía,32.1,2,2
1.2.16,Crédito Mercantil,33,2,1
1.2.16.1,Crédito Mercantil,33.1,2,2
1.2.17,Impuestos diferidos,34,2,1
1.2.17.1,Impuestos diferidos,34.1,2,2
1.2.18,Cuentas por cobrar a largo plazo,35,2,1
1.2.18.1,Cuentas por cobrar a largo plazo,35.1,2,2
1.2.19,Otros Activos No Circulantes,36,2,1
1.2.19.1,Otros Activos No Circulantes,36.1,2,2
2,Pasivo,,1,1
2.1,Pasivos circulantes,,1,1
2.1.1,Proveedores,37,1,1
2.1.1.1,Proveedores Nacionales,37.1,1,2
2.1.1.2,Proveedores Extranjeros,37.2,1,2
2.1.1.3,Partes Relacionadas,37.3,1,2
2.1.2,Cuentas por Pagar a corto plazo,38,1,1
2.1.2.1,Documentos por Pagar,38.1,1,2
2.1.2.2,Documentos por Pagar Bancarios,38.2,1,2
2.1.2.3,Dividendos por Pagar,38.3,1,2
2.1.2.4,Partes Relacionadas,38.4,1,2
2.1.2.5,Intereses por pagar,38.5,1,2
2.1.3,Acreedores diversos,39,1,1
2.1.3.1,Socios. Accionistas o Representante legal,39.1,1,2
2.1.3.2,Partes Relacionadas,39.2,1,2
2.1.3.3,Otros Acreedores Diversos,39.3,1,2
2.1.4,Anticipo de Clientes,40,1,1
2.1.4.1,Anticipo de clientes,40.1,1,2
2.1.5,Impuestos trasladados,41,1,1
2.1.5.1,IVA trasladado,41.1,1,2
